sno,value,id,latitude,longitude,hasMenu,rating
1,484,Elaine's Kitchen,32.76893404,-96.76944644,TRUE,7.9
2,124,Blackjack Pizza,32.76691683,-96.77067002,TRUE,7.7
3,1404,Off The Bone Barbeque,32.765841,-96.79229382,TRUE,8.6
4,11076,Cane Rosso,32.78258649,-96.78555351,TRUE,9.5
5,8880,Angry Dog,32.78305597,-96.78356082,TRUE,9
6,9529,Twisted Root Burger Company,32.78287958,-96.78550643,TRUE,9.2
7,6645,Pecan Lodge,32.78376076,-96.78395831,TRUE,9.4
8,501,Mudhen Meat and Greens,32.77783953,-96.79079533,TRUE,8.3
9,5203,St. Pete's Dancin' Marlin,32.78316939,-96.78344053,TRUE,8.6
10,7996,Serious Pizza,32.78485048,-96.78337365,TRUE,9.3
11,965,Green Door Public House,32.77862444,-96.79193468,TRUE,8.5
12,4715,Deep Sushi,32.78416336,-96.78553,TRUE,9
13,2253,Monkey King Noodle Co.,32.78444233,-96.78121448,TRUE,8.8
14,3152,The Free Man,32.78274005,-96.78514555,TRUE,8.5
15,6373,Cafe Brazil,32.78503764,-96.7827487,TRUE,8.9
16,143,Bucky Moonshine's,32.784987,-96.782011,TRUE,8.8
17,4129,Pepe & Mito's Mexican Cafe,32.78514,-96.78201972,TRUE,8.8
18,1334,Glazed Donut Works,32.78446795,-96.78493111,TRUE,8.7
19,237,Big Daddy's Fried Chicken,32.75293557,-96.76616799,TRUE,8.5
20,291,Rex's Seafood at the Farmer's Market,32.77776739,-96.78972735,TRUE,7.9
21,1327,Baker's Ribs,32.78493047,-96.7792514,TRUE,8.2
22,1407,Fuzzy's Taco Shop,32.784406,-96.784422,TRUE,8.3
23,1221,Metropolitan Cafe,32.78177834,-96.79254145,TRUE,8.5
24,5079,All Good Cafe,32.78431605,-96.7806673,TRUE,8.1
25,2731,CBD Provisions,32.78103288,-96.79832695,TRUE,9
26,2741,Stackhouse Burgers,32.78800562,-96.784337,TRUE,8.9
27,6268,Buzzbrews,32.78333739,-96.78316712,TRUE,8
28,757,Baby Back Shak,32.76787931,-96.78991042,TRUE,7.3
29,2957,Chop House Burger,32.78072595,-96.79950399,TRUE,8.7
30,503,The French Room,32.77999542,-96.79973245,TRUE,8.6
