sno,value,id,latitude,longitude,hasMenu,rating
1,1046,Slab Sicilian Street Food,43.65778923,-70.26005636,TRUE,8.7
2,335,Schulte and Herr,43.65789332,-70.26171779,TRUE,8.6
3,201,Dutch's Breakfast & Lunch,43.657942,-70.260533,TRUE,8.4
4,2662,Public Market House,43.657238,-70.259189,TRUE,8.7
5,332,The Back Bay Grill,43.65802519,-70.26445739,TRUE,8.2
6,3725,OTTO,43.65478323,-70.26241779,TRUE,9.1
7,274,Union,43.658986,-70.25657179,TRUE,9.1
8,236,Bayside American Cafe,43.65768682,-70.26573986,TRUE,8.3
9,1113,David's Restaurant,43.657437,-70.25897697,TRUE,8.3
10,1338,Five Fifty-Five,43.65524,-70.26190041,TRUE,8.5
11,1240,Green Elephant Bistro,43.65364447,-70.26354432,TRUE,9.2
12,695,Empire Chinese Kitchen,43.654869,-70.262533,TRUE,8.3
13,1150,Miss Portland Diner,43.6633764,-70.2632534,TRUE,8.5
14,1932,Yosaku,43.65436225,-70.25743598,TRUE,8.9
15,1692,The Corner Room Kitchen & Bar,43.65867994,-70.25623226,TRUE,8.3
16,97,Sabieng,43.65512896,-70.26326895,TRUE,8
17,969,Miyake,43.65553327,-70.25548008,TRUE,8.8
18,2375,Boda,43.65313521,-70.26652097,TRUE,9.1
19,177,Asmara,43.65503,-70.261537,TRUE,8
20,2367,The Holy Donut,43.656687,-70.253417,TRUE,9.4
21,2730,Pai Men Miyake,43.65292,-70.266936,TRUE,9.2
22,282,Mi Sen Noodle Bar,43.65345428,-70.26465476,TRUE,8.5
23,763,Bubble Maineia,43.65732788,-70.25669483,TRUE,8.1
24,2788,Street and Co.,43.65600453,-70.25406082,TRUE,9.1
25,1489,Local Sprouts Cafe,43.653365,-70.265484,TRUE,8.6
26,1761,Central Provisions,43.65618084,-70.25386959,TRUE,9
27,251,Tandoor Fine Indian Cuisine,43.658084,-70.25523514,TRUE,8.3
28,480,Katahdin Restaurant,43.6553372,-70.26353982,TRUE,7.9
29,1999,Grace,43.659331,-70.25782305,TRUE,7.8
30,81,isa bistro,43.65806432,-70.26502831,TRUE,7.6
31,693,Gorham House of Pizza,43.6794999,-70.44293261,TRUE,8.5
32,131,91 South,43.675725,-70.441147,TRUE,7.8
33,713,Chute's Family Restaurant,43.82930542,-70.43503945,TRUE,8.3
34,1473,Mr Bagel,43.67915191,-70.3556761,TRUE,8.4
35,184,Lucky Thai,43.67882317,-70.439611,TRUE,7.5
36,1188,Portland Pie Company,43.67698592,-70.36716033,TRUE,8.1
37,771,Severino's Variety,43.68563223,-70.35629505,TRUE,8
38,211,Dancing Elephant Restaurant & Lounge,43.67661752,-70.36629864,TRUE,8
39,1523,Chipotle Mexican Grill,43.67759433,-70.32998802,TRUE,8.8
40,270,Charlie's Diner,43.75301756,-70.36111427,TRUE,7.4
41,160,Phoever Maine Vietnamese Bar & Grill,43.67787719,-70.33490156,TRUE,8.5
42,996,The Frog and Turtle,43.677042,-70.36678255,TRUE,7.9
43,2399,Kon Asian Bistro,43.67552403,-70.32628923,TRUE,8.6
44,609,SUBWAY,43.71384278,-70.33402828,TRUE,7.6
45,1498,Fajita Grill,43.6769075,-70.36619497,TRUE,7.6
46,296,Baker's Bench,43.675487,-70.366883,TRUE,7.6
47,373,China Villa,43.67679672,-70.368963,TRUE,7.6
48,62,Bomb Diggity Bakery & Cafe,43.83759975,-70.44100244,TRUE,7.8
49,658,Amato's Sandwich Shops,43.67781254,-70.33546834,TRUE,8
50,482,Friendly's,43.83860142,-70.44161996,TRUE,7.8
51,214,Ocean Garden Restaurant,43.68747646,-70.41824704,TRUE,7.1
52,67,The Blue Pig Diner,43.68041504,-70.44315566,TRUE,7.1
53,885,Denny's,43.67664838,-70.32957762,TRUE,7.8
54,775,Profenno's Pizzeria & Pub,43.67684943,-70.37013539,TRUE,7.4
55,1771,Buck's Naked BBQ,43.82842026,-70.43433666,TRUE,7.4
